idTitre:ID,artiste,nomChanson,:LABEL
t1,A cause des garçons,A cause des garçons,Titre
t2,Adam et Eve,Rien ne se finit ,Titre
t3,Adam et Eve,Ma bataille,Titre
t4,Alain Barrière & Noelle Cordier,Tu t’en vas,Titre
t5,Alain Bashung,Gaby oh Gaby,Titre
t6,Alain Bashung,La nuit je mens,Titre
t7,Alain Bashung,Ma petite entreprise,Titre
t8,Alain Bashung,Résident de la république,Titre
t9,Alain Bashung,Osez Joséphine,Titre
t10,Alain Bashung,Vertige de l’amour,Titre
t11,Alain Chabat et Gérard Darmon,La carioca,Titre
t12,Alain Chamfort,Manureva,Titre
t13,Alain Chamfort,Bambou,Titre
t14,Alain Chamfort,Le temps qui court,Titre
t15,Alain Souchon,Foule sentimentale,Titre
t16,Alain Souchon,L’amour à la machine,Titre
t17,Alain Souchon,Allo maman bobo,Titre
t18,Alain Souchon,Bidon,Titre
t19,Alain Souchon,J’ai 10 ans,Titre
t20,Alain Souchon,Jamais content,Titre
t21,Aladin,Prince Ali,Titre
t22,Alizée,J’en ai marre,Titre
t23,Alizée,Moi lolita,Titre
t24,Amandine Bourgeois,L’homme de la situation,Titre
t25,Amel Bent,Le droit à l’erreur,Titre
t26,Amel Bent,Où je vais,Titre
t27,Amel Bent,Ne retiens pas tes larmes,Titre
t28,Amel Bent,Ma philosophie,Titre
t29,Andrea Bocelli et Hélène Ségara,Vivo per lei,Titre
t30,Anaïs,Mon cœur mon amour,Titre
t31,Anggun,La neige au sahara,Titre
t32,Annie Cordi,Tata Yoyo,Titre
t33,Annie Cordi,La bonne du curé,Titre
t34,Antoine,Les élucubrations d’Antoine,Titre
t35,Ariane Moffatt,Je veux tout,Titre
t36,Au bonheur des dames,Oh les filles,Titre
t37,Au p’tit bonheur,J’veux du soleil,Titre
t38,Axel Bauer,Cargo de nuit,Titre
t39,Axel Bauer,Eteins la lumière,Titre
t40,Axel Bauer et Zazie,A ma place,Titre
t41,Axelle Red,Sensualité,Titre
t42,Axelle Red,Rester Femme,Titre
t43,Axelle Red,Le monde tourne mal,Titre
t44,Axelle Red,Ma prière,Titre
t45,Axelle Red,Parce que c’est toi,Titre
t46,Axelle Red,Ce matin,Titre
t47,Bandolero,Paris Latino,Titre
t48,Barbara,L’aigle noir,Titre
t49,BB Brunes,Coups et blessures,Titre
t50,BB Brunes,Dis-moi,Titre
t51,BB Brunes,Stéréo,Titre
t52,BB Brunes,Lalalove you,Titre
t53,Ben l’Oncle Soul,Elle me dit,Titre
t54,Ben l'Oncle Soul,Soulman,Titre
t55,Bernard Lavilliers,La salsa,Titre
t56,Bernard Lavilliers,Idées noires,Titre
t57,Bénabar,Le dîner,Titre
t58,Bénabar,Maritie et Gilbert Carpentier,Titre
t59,Bénabar,L’effet Papillon,Titre
t60,Bill Baxter,Embrasse-moi idiot,Titre
t61,Billy Ze Kick,Mangez-moi mangez-moi,Titre
t62,Brice Conrad,Oh la,Titre
t63,Brigitte Bardot,Harley Davidson,Titre
t64,Brigitte Bardot,Tu veux ou tu veux pas,Titre
t65,Cali,Je m’en vais,Titre
t66,Cali,Elle m’a dit,Titre
t67,Calogero,En apesanteur,Titre
t68,Calogero,Si seulement je pouvais lui manquer,Titre
t69,Calogero,Yalla,Titre
t70,Calogero,C’est dit,Titre
t71,Calogero & Passi,Face à la mer,Titre
t72,Calogero,Pomme C,Titre
t73,Camélia Jordana,Non non non non (écouter Barbara),Titre
t74,Camille,Ta douleur,Titre
t75,Carla Bruni,Raphael,Titre
t76,Carla Bruni,Quelqu’un m’a dit,Titre
t77,Carla Bruni,Mon raymond,Titre
t78,Carlos,La cantine,Titre
t79,Carlos,Rosalie,Titre
t80,Carlos,Tout nu et tout bronzé,Titre
t81,Catherine Lara,Nuit magique,Titre
t82,Catherine Lara,La rockeuse de diamant,Titre
t83,Céline Dion,D’amour ou d’amitié,Titre
t84,Céline Dion,Je sais pas,Titre
t85,Céline Dion,En attendant ses pas,Titre
t86,Céline Dion,Il y a trop de gens qui t’aiment,Titre
t87,Céline Dion,Pour que tu m'aimes encore,Titre
t88,Céline Dion,S'il suffisait d'aimer,Titre
t89,Céline Dion,J'irai ou tu ira,Titre
t90,Céline Dion,Dans un autre monde,Titre
t91,Céline Dion,On ne change pas,Titre
t92,Céline Dion,Parler à mon père,Titre
t93,Chagrin d’Amour,Chacun fait (c’qui lui plait),Titre
t94,Charlelie Couture,Comme un avion sans aile,Titre
t95,Charles Aznavour,La bohème,Titre
t96,Charles Aznavour,Je m'voyais déjà,Titre
t97,Charles Aznavour,For me formidable,Titre
t98,Charles Aznavour,Emmenez-moi,Titre
t99,Charles Aznavour,Mes emmerdes,Titre
t100,Charles Aznavour,Tu t’laisses aller,Titre
t101,Charles Aznavour,La mamma,Titre
t102,Charles Aznavour,Désormais,Titre
t103,Charles Aznavour,Les plaisirs démodés,Titre
t104,Charles Aznavour,Les comédiens,Titre
t105,Charles Aznavour,Le temps,Titre
t106,Charles Trenet,Douce France,Titre
t107,Chimène Badi,Entre nous,Titre
t108,Christophe,Les mots bleus,Titre
t109,Christophe,Petite fille du soleil,Titre
t110,Christophe,Aline,Titre
t111,Christophe,Les marionnettes,Titre
t112,Christophe,Señorita,Titre
t113,Christophe,Succès fou,Titre
t114,Christophe Maé,Mon p’tit gars,Titre
t115,Christophe Maé,On s'attache,Titre
t116,Christophe Maé,Dingue dingue dingue,Titre
t117,Christophe Maé,Tombé sous le charme,Titre
t118,Christophe Maé,Belle Demoiselle,Titre
t119,Christophe Maé,Ca fait mal,Titre
t120,Christophe Maé,Un peu de blues,Titre
t121,Christophe Maé,Ca marche,Titre
t122,Christophe Maé,Je me lâche,Titre
t123,Christophe Maé,Parce qu’on ne sait jamais,Titre
t124,Christophe Willem,Double je,Titre
t125,Christophe Willem,Jacques a dit,Titre
t126,C Jérome,Et tu danses avec lui,Titre
t127,C Jérome,Kiss Me,Titre
t128,C Jérome,C’est moi,Titre
t129,Claude Barzotti,Le rital,Titre
t130,Claude François, Marche tout droit,Titre
t131,Claude François,Bélinda,Titre
t132,Claude François,C’est la même chanson,Titre
t133,Claude François,Le téléphone pleure,Titre
t134,Claude François,J’attendrai,Titre
t135,Claude François,Même si tu revenais,Titre
t136,Claude François,Comme d'habitude,Titre
t137,Claude François,Alexandrie Alexandra,Titre
t138,Claude François,Le lundi au soleil,Titre
